Number,Terminology,Description,Example
11,coda,"This term names the portion of a syllable that follows the vowel nucleus, consisting of one or more consonants that close off the syllable, and together with the onset and nucleus it forms the basic tripartite structure that phonologists use to describe syllable-internal organization. Not every syllable has this constituent; syllables without one are called open, while those with one are called closed, and languages vary enormously in how many consonants they permit in this position, ranging from none at all to complex consonant clusters. This constituent is important for determining syllable weight, since a syllable that has one is often treated as heavier than an open syllable with the same vowel, which in turn can influence stress placement and other prosodic patterns. Consonants in this position are also frequently subject to special phonological processes not found at the beginning of a syllable, such as neutralization of certain contrasts, devoicing, or lack of release, because articulatory and perceptual pressures often differ between the beginning and the end of a syllable.","In the word 'cats' [kæts], the consonant cluster /ts/ following the vowel /æ/ closes off the syllable."
12,complementary distribution,"This term describes the relationship between two or more sounds when each occurs only in a specific, mutually exclusive set of phonetic environments, such that the sounds never appear in the same context and their occurrence can be fully predicted from the surrounding environment. This pattern is one of the primary types of evidence phonologists use to argue that two phonetically different sounds are variants of a single underlying phoneme rather than separate phonemes, because if the difference between the sounds is entirely predictable from context, speakers do not need to store both as distinct contrastive units; the variation can instead be generated by a general rule. This relationship is usually established by examining minimal pairs and environments systematically, and it is often accompanied by phonetic similarity between the sounds in question, since variants of the same phoneme also tend to share articulatory or acoustic properties even as their exact distribution differs. This pattern stands in contrast to a relationship in which two sounds occur in the same environment and create a meaning difference, marking them as separate phonemes.","Aspirated [pʰ] occurs only syllable-initially and unaspirated [p] occurs only after /s/ or in codas, so the two never occur in the same environment."
14,default rule,"This term names a phonological rule that applies automatically as the general, unmarked case unless some more specific rule or condition intervenes to block or override it, effectively supplying a predictable value or realization whenever no special conditioning environment is present. Such a rule is often described as applying elsewhere, meaning it covers whatever contexts are left over once all more narrowly conditioned rules have been accounted for, which is why it is closely associated with the elsewhere condition in rule-based phonology. Because it represents the least marked or most general outcome, it is typically ordered to apply after more specific rules, ensuring that those narrower rules get the first opportunity to apply in their limited environments before the broader, general statement fills in the rest of the cases. This organizational principle helps linguists write economical grammars, since instead of listing every possible context individually, they can state one specific rule for exceptional environments and let a single general statement automatically handle every other environment.","If a language voices stops between vowels but otherwise keeps stops voiceless everywhere else, the voicing statement is specific and the voicelessness is the general fallback."
15,dental,"This term names a place of articulation in which the tip or blade of the tongue makes contact with or approaches the upper front teeth, distinguishing it from a place slightly further back at the bony ridge behind the teeth, and from a place in which the tongue protrudes between the upper and lower teeth. Sounds made here are found in many of the world's languages, sometimes contrasting directly with sounds made at the neighboring ridge in the same language, which requires speakers to control fine differences in tongue-tip placement that can be difficult for second-language learners whose native language does not make this same distinction. In English, true sounds of this type exist and are sometimes described more precisely with an additional label because the tongue tip is visible between the teeth during their production, while other consonants sometimes loosely associated with this region are more accurately classified as belonging to the ridge just behind the teeth. Cross-linguistically, this contrast with the neighboring place is one of the more perceptually subtle place-of-articulation distinctions, and phonetic transcription systems provide dedicated symbols and diacritics specifically to keep the two clearly distinguished in careful analysis.","The English fricatives /θ/ and /ð/, as in 'thin' and 'this', are produced with the tongue tip at or between the upper front teeth."
16,derivation,"In phonology, this term refers to the step-by-step sequence of rule applications that maps an abstract underlying representation of a word onto its concrete surface pronunciation, with each rule in the sequence potentially changing, adding, or deleting features, segments, or structure based on the output of the previous step. Classical generative phonology models pronunciation as the output of ordered rules operating on an underlying form, so this sequence is essentially a formal proof showing exactly how and why a particular surface form arises from its underlying representation, including which rules apply, in what order, and what the intermediate representations look like at each stage. The order in which rules apply within this sequence can crucially affect the final output, since applying two rules in one order may produce a different surface form than applying the same two rules in the opposite order, which is why rule ordering is a central topic connected closely to this concept. Making this sequence explicit is also used pedagogically to state clear, testable claims about the phonological system of a language, since a well-formed sequence of this kind should correctly predict the attested surface forms for a given set of inputs.","A step-by-step account might show /ɪn+pasəbl/ undergoing nasal place assimilation to surface as [ɪmpasəbl] 'impossible', with each intermediate step made explicit."
17,devoiced/devoicing,"This process occurs when a segment that is normally or underlyingly voiced loses its voicing and is realized instead as a voiceless, or at least partially voiceless, sound, typically because of its position in the word, its proximity to other voiceless sounds, or general prosodic weakening at edges of words or utterances. It is extremely common cross-linguistically in final position, where obstruents at the end of a word or syllable frequently lose contrastive voicing even if the same sound is reliably voiced elsewhere in the language. This process can be a completely automatic, allophonic phonetic process that applies without exception in a given environment, or it can be a more variable, gradient phenomenon whose degree depends on speech rate, style, and individual speaker tendencies, and phoneticians distinguish a partial version, in which some voicing remains but is reduced, from a complete version, in which voicing is entirely absent. This process is important both for describing individual languages and for understanding broader patterns of markedness, since voiceless obstruents are generally considered less marked than their voiced counterparts.","In German, word-final /d/ loses its voicing and surfaces as [t], so 'Rad' (wheel) is pronounced [ʁaːt] despite being spelled with 'd'."
18,diachronic/diachronic changes (vs. synchronic/synchrony),"One member of this pair of perspectives refers to the study of language as it changes over historical time, tracing how sounds, forms, or structures evolve from one stage of a language to a later stage, whereas the other member refers to the study of a language system as it exists at a single point in time, without reference to its history or later development. A shift viewed from the first perspective, then, is any historical alteration in pronunciation, such as a sound merging with another sound, splitting into two distinct sounds, or shifting its place or manner of articulation, that can be documented by comparing earlier and later stages of a language or by comparing related languages that descended from a common ancestor. The second perspective, by contrast, focuses purely on the internal logic and rule system operating in a language at one moment, treating that system as a self-contained object of study regardless of how it came to be that way historically. The distinction between these two perspectives, originally emphasized by Ferdinand de Saussure, remains foundational in linguistics because a pattern that looks arbitrary or irregular from the second viewpoint often becomes fully explainable once its history is understood.","The Great Vowel Shift is a well-known historical change tracked across centuries, while a description of present-day English vowel contrasts looks only at one moment in time."
19,diphthong (vs. monophthong),"One member of this pair of vowel types involves a perceptible change in quality within a single syllable, as the tongue and lips glide smoothly from one vowel target toward another target without any intervening consonant, so that the whole sequence is treated phonologically as one vowel nucleus rather than as two separate vowels in two syllables. The other member, by contrast, has a single, relatively steady articulatory target throughout its duration, without this kind of internal glide in quality. The gliding type is often transcribed with two vowel symbols joined together to represent the starting and ending points of the movement, and languages differ both in how many such vowels they have and in how phonologists analyze their internal structure, with some frameworks treating the second element as behaving more like a glide consonant than a true vowel. Distinguishing a gliding vowel from a sequence of a vowel plus a following glide consonant, or from two vowels in separate syllables, can be an important and sometimes subtle analytical decision, since the phonetic signal alone does not always make the syllabification unambiguous.","The vowel in 'boy' [bɔɪ] glides from one quality to another within a single syllable, while the vowel in 'bee' [biː] holds a single steady quality throughout."
20,"dual articulation (or secondary articulation: e.g., lip rounding in /ʃ, ʒ, tʃ, dʒ/)","This term refers to a situation in which a consonant has one primary constriction that defines its basic place and manner of articulation along with an additional, simultaneous articulatory gesture layered on top of it that modifies its acoustic quality without changing its basic phonemic identity. Common instances of this additional gesture include lip rounding, in which the lips are rounded at the same time as another constriction is formed elsewhere in the vocal tract, as well as raising the front of the tongue toward the hard palate during the production of a consonant made elsewhere, and raising the back of the tongue toward the velum. Unlike sounds made with lip rounding and tongue-back raising simultaneously, where two constrictions are roughly equal in phonological importance and are usually described as having two co-equal primary places rather than one dominant and one added gesture, a true secondary gesture of this kind is understood as subordinate to a clearly dominant primary articulation. Such secondary gestures are important both for fine-grained phonetic description and for explaining certain phonological patterns, since a sound carrying lip rounding as an added gesture may pattern together with other rounded sounds in assimilation or harmony processes.","The English post-alveolar sounds /ʃ, ʒ, tʃ, dʒ/, as in 'ship', 'measure', 'chip', and 'judge', involve lip rounding layered on top of their primary place of articulation."
21,elision,"This process is the complete deletion or omission of a sound, typically a vowel or occasionally a consonant, that would otherwise be expected to appear in a word or phrase based on its careful, full pronunciation, often occurring in casual or rapid connected speech as a way of simplifying difficult or awkward sound sequences. It is closely related to but distinct from a process in which a sound becomes weaker or shorter without disappearing entirely, and it is also related to but distinct from a process in which a sound changes to become more like a neighbor rather than vanishing altogether. It commonly targets unstressed vowels in casual speech, especially in fast or informal registers, and it can also affect consonants at word boundaries or within consonant clusters that would otherwise be difficult to articulate smoothly. In many languages, this kind of deletion is a highly productive and pervasive part of everyday spoken style, even though the same words are typically pronounced with the full, unreduced sound sequence in careful, formal speech or in isolated citation form.","In casual speech, 'probably' is often pronounced without its middle vowel as [prɒbli], with the schwa dropped entirely."
22,elsewhere condition,"This principle in rule-based phonology and morphology states that when two rules could potentially apply to the same input, the more specific rule, defined over a narrower or more particular context, takes precedence and blocks the more general rule from applying in that same context, while the general rule is left to apply everywhere else where the specific rule's conditions are not met. This principle formalizes the intuitive idea that exceptions should override general patterns, and it allows linguists to state a broad, generally applying rule alongside a small number of narrowly targeted special rules without needing to build every exception explicitly into the statement of the general rule itself. This principle is conceptually connected to the notion of a default rule, since the general rule effectively becomes the fallback that covers whatever contexts remain once the specific rule has claimed its narrower territory. This kind of specificity-based rule interaction appears not only in phonology but also in morphology, where more specific morphological rules or irregular forms similarly block more general regular rules from applying to the same lexical item.","The irregular past tense 'went' blocks the general rule adding '-ed', which instead applies to regular verbs like 'walked'."
23,epenthesis (insertion),"This process is the addition of an extra sound, usually a vowel or occasionally a consonant, into a word or sequence where that sound was not present underlyingly, most often occurring as a strategy for breaking up a consonant cluster or sequence that would otherwise violate the phonotactic constraints of the language, making the resulting form easier to pronounce or more consistent with the language's preferred syllable structure. The vowel-adding version is especially common when a language strongly disfavors complex consonant clusters or certain coda types, adding a vowel between two consonants that would otherwise be adjacent, while the consonant-adding version typically arises to smooth an awkward transition between two vowels or to strengthen a syllable boundary. This process is one of the core repair strategies available to languages for resolving marked or illegal sound sequences, alongside alternatives such as deletion of one of the offending sounds or resyllabification, and the choice among these strategies can vary both across languages and across different phonological contexts within a single language. In loanword adaptation, this repair is particularly common, since borrowed words often contain consonant clusters that are illegal in the borrowing language and must be repaired to fit its native syllable structure.","Many English speakers add a vowel when pronouncing 'athlete' as [æθəliːt] rather than [æθliːt], breaking up the consonant cluster."
24,eurhythmy,"This term names a preference in the rhythmic organization of speech for stressed and unstressed syllables to alternate in a regular, evenly spaced pattern, avoiding sequences in which two stressed syllables occur immediately adjacent to one another, a configuration known as a stress clash, or in which too many unstressed syllables occur in a row without any intervening stress, sometimes called a stress lapse. Languages and speakers often resolve threatened violations of this preference through processes such as stress shift, in which the position of primary stress within a word moves to avoid a clash with a neighboring stressed syllable in connected speech, restoring a more alternating, rhythmically balanced pattern overall. The drive toward this kind of rhythmic balance is understood as a general prosodic tendency rather than an absolute requirement, and it interacts with lexical stress assignment, compound stress rules, and phrase-level intonation to shape the ultimate rhythmic surface form of an utterance. This concept is central to metrical phonology, where rhythmic structure is represented using grids or trees of strong and weak beats, and well-formedness of this rhythmic kind is one of the key criteria used to evaluate whether a given rhythmic structure is optimal.","'Academic' shifts its stress in 'academic banter' to 'Academic banter' to avoid a stress clash with the following stressed syllable, restoring a balanced alternating rhythm."
25,extrametrical (extrametricality),"This device in metrical phonology sets aside a particular syllable, or sometimes just a final consonant, at the edge of a word, most commonly the final syllable, from the domain over which normal stress-assignment or foot-construction rules operate, effectively making that edge element invisible to the algorithm that builds metrical feet and assigns primary stress. Once the excluded element has been set aside, the regular stress rules of the language apply to the remaining, smaller string of syllables as though that portion were not there at all, and only after stress has been assigned does the excluded syllable get reattached to the word, typically remaining unstressed. This exclusion is often lexically or morphologically conditioned, meaning that only certain classes of words or certain word-final elements, such as a final consonant that does not count toward syllable weight, are treated this way, while other superficially similar words behave according to the regular pattern without any such exclusion. This device allows linguists to maintain simple, general stress rules while still accounting for a systematic class of apparent exceptions concentrated at word edges.","If a language's stress rule normally targets the final syllable but that syllable is set aside from the count, stress instead falls on the second-to-last syllable."
26,"feature (binary feature, major class feature, unary feature)","In phonology, this term names one of the small set of primitive articulatory or acoustic properties, such as voicing, nasality, or place of articulation, that are combined together to characterize and distinguish speech sounds, functioning as the basic building blocks out of which contrastive sound units and natural classes are constructed rather than treating each sound as an unanalyzable whole. One type of such a property is specified with one of two opposing values, typically written as plus or minus, indicating whether a sound possesses or lacks it, while another type is either present or simply absent for a given sound, without a contrasting negative value, often used for properties like nasality in frameworks where absence is assumed by default rather than actively marked. A further special subset, covering properties like sonorant and consonantal, together divides all sounds into the broadest fundamental categories, such as vowels, glides, liquids, nasals, and obstruents, before any finer distinctions are considered. This system of properties allows phonologists to state rules and natural classes efficiently by referring to shared values rather than listing individual segments one by one.","The property [+voice] groups /b, d, g, v, z/ together as a natural class distinct from their voiceless counterparts /p, t, k, f, s/."
27,feature matrix,"This term names a table or grid representation that displays, for a set of segments, the specific value of each distinctive property relevant to describing and distinguishing those segments, typically arranged with segments as columns and properties as rows, or vice versa, so that every cell in the table shows whether a given segment is plus, minus, or unspecified for a given property. Such a representation allows linguists to see at a glance exactly which properties differentiate any two segments from each other and to identify natural classes by scanning for groups of segments that share identical values on a particular subset of properties. Because it makes the featural composition of every sound fully explicit, it is useful both for teaching the property system of a language and for formally stating phonological rules, which can refer to entire rows, columns, or sub-blocks rather than listing segments individually. Constructing an accurate version of this representation requires first deciding which properties are contrastive and necessary for the language or sound inventory in question, since including irrelevant or redundant properties can obscure rather than clarify the natural classes it is meant to reveal.","A table for /p, t, k/ would show all three sharing [-voice, -continuant] while differing only in their place values."
28,"flap, flapping (cf. tap, tapping)","One version of this pair of related terms, sometimes distinguished terminologically although the two are frequently used interchangeably in everyday phonetic description, names a consonant produced by a single, very brief and rapid contact of an articulator, typically the tip of the tongue, against another part of the vocal tract, such as the alveolar ridge, with the tongue then moving quickly away again rather than maintaining a sustained closure as in a full stop consonant. The other, naming the associated process, refers to the rule found in many varieties of North American English by which an underlying alveolar stop, particularly /t/ or /d/, is realized this quick, voiced way when it occurs between two vowels and the following vowel is unstressed, producing a rapid, brief burst instead of a fully released stop. Some phoneticians reserve one label specifically for a single rapid contact of the tongue tip against a fixed target and use the other for cases where the tongue tip strikes the roof of the mouth while moving from one position to another, but in the context of English phonology, the process typically refers to this vowel-to-vowel weakening of /t/ and /d/ regardless of the finer articulatory distinction.","In American English, the /t/ in 'butter' is commonly weakened to a rapid tongue-tip contact, giving a pronunciation closer to [ˈbʌɾɚ] rather than a fully released [t]."
29,foot (pl. feet),"In metrical phonology, this term names a unit of rhythmic structure consisting of one stressed syllable together with any number of adjacent unstressed syllables that are grouped with it, forming the basic building block from which word-level and phrase-level stress patterns are constructed above the level of the individual syllable. Such units are typically classified according to the position of the stressed syllable within them, with one type having the stress on the first syllable followed by one or more unstressed syllables, and another type having the stress on the final syllable preceded by one or more unstressed syllables, and languages differ systematically in which type they favor when building their metrical structure. This theory allows linguists to explain stress assignment not as an arbitrary property attached to individual syllables one at a time, but as the predictable output of a general algorithm that parses a word into such units from one edge and then designates one of them, usually according to its position, as carrying the primary word stress. These units also play a role in explaining rhythmic phenomena above the word level, including the alternation of strong and weak beats in connected speech.","The word 'happy' [ˈhæ.pi] forms a single such rhythmic unit, with stress on the first syllable and the second syllable unstressed."
30,formants,"This term names the concentrated bands of acoustic energy that appear as dark bands on a spectrogram, corresponding to the resonant frequencies of the vocal tract that are amplified as sound produced at the vocal folds passes through and is shaped by the particular configuration of the tongue, lips, and jaw during the production of a vowel or vowel-like sound. Such bands are numbered starting from the lowest frequency, with the first and second being the two most important for distinguishing vowel quality, since the first correlates roughly with vowel height, being higher for low vowels and lower for high vowels, while the second correlates roughly with vowel frontness, being higher for front vowels and lower for back vowels. Because each distinct vocal tract shape produces a characteristic pattern of these resonances, measuring and plotting them is one of the primary quantitative tools phoneticians use to describe and compare vowel systems objectively, rather than relying solely on impressionistic auditory judgments or articulatory descriptions. Such resonances also play an important role beyond vowels, contributing to the acoustic identity of certain consonants such as liquids and nasals.","The vowel /i/ as in 'see' has a characteristically low first resonance and a high second resonance, reflecting its high, front tongue position."
31,free variation,"This term describes a situation in which two or more different pronunciations of the same sound or word can occur in the exact same phonetic environment without any change in meaning and without the choice between them being predictable from context, contrasting with a situation where the choice among variants is determined systematically by the surrounding environment. Because the alternation here is not conditioned by any identifiable linguistic factor, the variants are typically considered to be genuinely optional at the level of an individual speaker, arising instead from factors like speech rate, personal habit, social context, or simple random fluctuation rather than from a phonological rule that could predict exactly which variant will occur in a given token. This kind of unpredictable variation is an important concept for defining what counts as an allophone, since variants related this way still do not create a meaning difference even though their occurrence cannot be predicted from environment the way context-conditioned variants can. In practice, apparent cases of this kind sometimes turn out, on closer sociolinguistic or statistical analysis, to be influenced by subtle factors after all, but the label is still used for cases where no clear conditioning environment has been identified.","Some speakers alternate unpredictably between a released and an unreleased final stop in words like 'stop', with either variant possible in the very same context."
32,fricative,"This term names a consonant produced by narrowing the vocal tract at some point to create a small gap through which the airstream must pass, generating audible, turbulent, hissing or buzzing noise as the air is forced through the constriction, in contrast to stops, which involve a complete closure of the vocal tract rather than a narrow channel. Such sounds can be produced at a wide range of places of articulation, from labial through alveolar, post-alveolar, palatal, velar, and glottal, and at each place they typically come in voiced and voiceless pairs, differing according to whether the vocal folds are vibrating during the production of the noise. Among them, a special subgroup called sibilants is distinguished by a particularly intense, high-frequency, hissing quality, which arises from directing the turbulent airstream against the back of the teeth in addition to the primary constriction, giving them a perceptually much louder and more acoustically salient noise than the non-sibilant members of the category. Sounds of this type are classified phonologically as continuants because the airflow, although obstructed and turbulent, continues throughout the duration of the sound rather than being fully stopped.","/f, v, θ, ð, s, z, ʃ, ʒ, h/ all involve this turbulent, continuous airflow in English, as in 'fan', 'van', 'thin', 'this', 'sun', 'zoo', 'ship', 'measure', and 'hat'."
33,fundamental frequency (pitch),"This acoustic measurement, often abbreviated F0, tracks how many times per second the vocal folds complete a full cycle of vibration during voiced sounds, and it is the primary acoustic correlate of the perceptual quality that listeners experience when they judge a sound as higher or lower, although that perceptual quality is technically the subjective impression rather than the objective physical measurement itself. This measurement is directly determined by properties of the vocal folds, including their length, mass, and the tension applied to them by the laryngeal muscles, with faster vibration producing a higher value and a correspondingly higher perceived quality, and slower vibration producing a lower value and a lower perceived quality. Variation in this measurement over the course of an utterance carries a great deal of linguistic and paralinguistic information, serving as the acoustic basis for lexical tone in tone languages, for word-level tone-accent systems, and for intonation patterns that convey sentence type, focus, and emotional or attitudinal nuance in essentially every spoken language. It is typically measured in hertz and can be visualized as a continuously moving track displayed alongside a spectrogram in acoustic analysis software.",A rising value of this acoustic measurement at the end of an utterance is one common cue that listeners associate with a yes-no question in English.
34,generative phonology,"This theoretical framework, developed primarily within the broader theoretical tradition initiated by Noam Chomsky in the mid-twentieth century, models the sound pattern of a language as a system in which an abstract underlying representation for each morpheme is transformed into its concrete surface pronunciation through the application of an ordered set of formal phonological rules. This approach treats phonological knowledge as part of a speaker's internal, largely unconscious grammar, and it aims to write explicit rules, often stated using distinctive features rather than whole segments, that correctly predict every attested alternation and surface form a native speaker would produce, while also capturing generalizations about which sound patterns are more natural or more common across languages. The classical version of this framework, exemplified by foundational work such as The Sound Pattern of English, places heavy emphasis on rule ordering, since applying the same set of rules in different orders can derive different, sometimes incorrect, surface outputs, making the sequencing of rules a central object of theoretical debate. Later frameworks, including autosegmental phonology, metrical phonology, and Optimality Theory, developed partly as responses to perceived limitations of this earliest rule-based model, though they generally retain its core commitment to explicit, formal, predictive analysis of sound patterns.","An analysis in this tradition proposes an underlying suffix that surfaces as [s], [z], or [ɪz] depending on ordered voicing and epenthesis rules."
35,glide,"This term, also called a semi-vowel, names a sound that is articulated with a vocal tract configuration very similar to that of a vowel, involving a relatively open channel with no significant constriction that would create turbulent noise, but that functions phonologically as a consonant rather than as a vowel, typically occurring in the margins of a syllable, in onset or coda position, rather than serving as the syllable nucleus. Such sounds are characterized by a rapid, transitional movement of the articulators from one position toward a following vowel target, meaning that unlike a full vowel, a sound of this type does not maintain a steady-state articulatory posture but instead is defined mainly by that dynamic movement itself. In English, there are two such sounds, one produced with the front of the tongue raised toward the palate in a position similar to a high front vowel, and one produced with lip rounding and tongue-back raising similar to a high back rounded vowel, and both pattern with consonants for purposes such as article selection and syllabification even though their articulation closely resembles the corresponding vowels. Sounds of this type are grouped together with liquids under the broader category of approximants in many classification systems.","/j/ in 'yes' and /w/ in 'wet' are the two such sounds in English, patterning as consonants despite their vowel-like articulation."
