LINK,Filename,YEAR,KEYWORDS,TEXT
/TExams/2008_3b.png,2008_3b.PNG,2008_3b,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning",The second option which is less general or marked takes the form of a statement with no subject auxiliary inversion as in Tom cooked DINner In this marked pattern with rising intonation the speaker is either asking the interlocutor to repeat or is making an assumption and wants the interlocutor to confirm it i e the speaker has good reason to expect a yes answer Another prosodic pattern for the uninverted question has emphatic stress high pitch and exaggerated intonation on one or two of the constituents that lend themselves to focus as in TOM cooked DINnet In this pattern the speaker is reacting with surprise or disbelief to certain information just received For learners of English it does not make sense to practice the unmarked and marked versions of Tom cooked dinner in isolation and out of context Learners must understand early on that one version is appropriate in one context whereas the other is appropriate in another context
/TExams/2008_3c.png,2008_3c.PNG,2008_3c,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning",oe Hat wt Ol BA Kelly B88 A f WW e BEB AD se US S78 2 ONE 507 us Fee Ae Kelly is a friend of Lisas family Lisa The guys kept doing nice things for me because it was Mothers Day Bob washed the car Joe ironed the shirts and Tom cooked dinner Kelly Lisa It was quite arnazing to me too Hes never even boiled an egg before
/TExams/2008_3d.png,2008_3d.PNG,2008_3d,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning",Answers lt
/TExams/2009_1a.png,2009_1a.PNG,2009_1a,"monosyllabic, legitimate, phonotactics, lax, tense, long vowel, diphthong, stop, homorganic, NC, voicing agreement ",31 Read and and follow the directions Consider the following data in and Q which show certain restrictions on the sound combinations of English monosyllabic words tip lick live mess limp lint sink mend mind pie wife bike sign sea leap wreathe league Q The data in are all legitimate English words whereas those in are not as indicated by an asterisk
/TExams/2009_1b.png,2009_1b.PNG,2009_1b,"monosyllabic, legitimate, phonotactics, lax, tense, long vowel, diphthong, stop, homorganic, NC, voicing agreement ",a A lax vowel ie a short vowel must be followed by at least one consonant b When a consonant follows a tense vowel ie a long vowel or diphthong it must be a stop consonant When a sequence of a nasal and a stop follows a vowel the two consonants are homorganic i e having the same place of articulation d When a sequence of a nasal and a voiced stop follows a vowel the two sounds must be alveolar consonants When a sequence of a nasal and a stop follows a vowel the two consonants all agree in voicing Choose all the correct statements about the data in from the list in Dab d acd a ce b d Ob ge
/TExams/2009_2a.png,2009_2a.PNG,2009_2a,"syllabic, /l/, place assimilation, total assimilation",3A Read and and follow the directions The following rules describe some characteristic features of Standard American English The lateral can be syllabic ic standing as the nucleus of a syllable following a sequence of a stressed vowel and an alveolar stop an oral or a nasal stop A word final t d or nf may assimilate in place of articulation to a following word initial bilabial or velar stop resulting in two identical consonants in some cases But some features such as voicing and nasality of the consonant remain constant When place assimilation results in two identical consonants it is called total assimilation
/TExams/2009_2b.png,2009_2b.PNG,2009_2b,"syllabic, /l/, place assimilation, total assimilation",Each sentence below may or may not contain a word phrase to which rule or in is applied Can you pass me the one in the middle cP He lost his pet cat yesterday You excel as a painter I like the blue soap dish I will cross the channel by boat Teachers extol the virtue of honesty You re a very good boy ae re me I heard that ten cooks went home Choose the correct match between each rule in and the corresponding examples in For in find ONLY the examples in which total assimilation occurs oO ae dh ae bd ae bg of dh f bg
/TExams/2010_1a.png,2010_1a.PNG,2010_1a,"assimilation, place assimilation, manner assimilation, alternation, negative prefix, in, degemination",30 Read and and follow the directions Assimilation one of the most common phonological processes comes in two types One is place assimilation in which the assimilated sound becomes similar to the conditioning sound in terms of place The other is manner assimilation where a sound takes on the manner of articulation from an adjacent sound In English these two types of assimilation can be found in the alternations of the negative prefix in as shown below in kouhierant f intregjolar irregjolar after assimilation degemination occurs ie the two identical consonants are fused into one
/TExams/2010_1b.png,2010_1b.PNG,2010_1b,"assimilation, place assimilation, manner assimilation, alternation, negative prefix, in, degemination",a in lacgikal logical b in matjuar immature c in rezalutt irresolute d in gretetjuid ingratitude e in kerekt incorrect Choose all the examples in which undergo place assimilation in rapid speech Mabe Qac Ob c bde Ode
/TExams/2010_2a.png,2010_2a.PNG,2010_2a,"stress-shifting, suffix, base, syllable structure, light, heavy",33 Read and and answer the question In English some stress shifting suffixes trigger a shift of stress in the base to which they are attached In words with those suffixes the assignment of stress depends on the syllabic internal structure of the base as shown below The primary stress falls on the syllable that is immediately before the suffix if that syllable is heavy eg stibstance substantial If the syllable immediately before the suffix is light the primary stress falls on the syllable immediately preceding that light syllable e g admire ddmirable Note A heavy syllable is defined as a syllable with a tense vowel a diphthong or a lax vowel followed by at least one coda segment A light syllable on the other hand is an open syllable with one lax vowel having no coda except when the vowel is a
/TExams/2010_2b.png,2010_2b.PNG,2010_2b,"stress-shifting, suffix, base, syllable structure, light, heavy",The suffixes are given in parentheses a homonym homonymy y b context contextual ual c navigate navigation ion d compete competency ency e insect imsecticide icide f advantage advantageous eous Which of the following is the correct grouping for the data in based on the rules of and DOacd bef Oade bof Ob c a d e f bof ade Obageft ad
/TExams/2011_1.png,2011_1.PNG,2011_1,"diachronic, synchronic, nondistictive feature, dissimilation, insertion, deletion",33 Read the description below and follow the directions Phonological rules apply to phonemic strings and alter them in various ways to derive their phonetic pronunciations The underlined parts in the following examples from native speakers of English show the application of the rules either diachronically or synchronically a They may add nondistinetive features which are predictable from the context Key players on the ski team were sick b They may change feature values to make two phonemes in a string more dissimilar Are there any similar aspects among the spiritual groups ec They may insert segments that are not present in the phonemic string The school has many kids from my neighborhood d They may delete phonemic segments in a certain context Whats the difference between sign and signature Choose all and only the phonological rules that are shown with correct examples underlined Dab Qa bd aed b e Oud
/TExams/2011_2a.png,2011_2a.PNG,2011_2a,"speech error, phonological rule, anticipation error, preservation, metathesis",35 Read and and follow the directions We all make speech errors and they tell us interesting things about language and its use More than simply amusing speech errors are linguistically interesting because they provide further evidence for phonological rules and for the decomposition of speech sounds into features Consider the following speech errors Intended Utterance Actual Utterance 1 cup of coffee cuff of coffee 2 gave the boy gave the goy 3 the zipper is narrow the nipper is zarrow 4 gone to seed god to seen
/TExams/2011_2b.png,2011_2b.PNG,2011_2b,"speech error, phonological rule, anticipation error, preservation, metathesis",a The first error is known as an anticipation error where a segment that occurs later in a series is repeated in an earlier position The bilabial stop of the first word cup was replaced by a labio dental fricative of the third word coffee b The second error is known as a preservation error where a segment that occurs earlier in a series is repeated in a later position The bilabial stop of the third word boy was switched with a velar fricative of the first word gave The third error is known as a metathesis error where two segments switch places The alveolar fricative of the second word zipper and the alveolar nasal of the fourth word narrow switched places d In the fourth example also a metathesis error the coda consonants of the first and third words were reversed Hence the first vowel in the actual utterance lost nasalization because it no longer occurs before a nasal consonant Instead the third vowel in the actual utterance is nasalized because it is followed by a nasal consonant Choose all and only the statements in that correctly explain the data in in terms of phonological rules and features
/TExams/2012_1a.png,2012_1a.PNG,2012_1a,"overlapping, complementary, complementary distribution, contrastive, phoneme, allophone, free variation",31 Read and and answer the question When a sound and a sound occur in the same environment we say these sounds are in overlapping distribution On the other hand if a sound never appears in any of the phonetic environments in which a sound occurs the two sounds are in complementary distribution When the two sounds in overlapping distribution are not involved in the meaning difference of the word pair it is termed a free variation If the two sounds in overlapping distribution contribute to the meaning difference of the word pair the two sounds are in contrastive distribution When phonetic realizations of two sounds are in contrast with each other the two sounds are allophones of different phonemes
/TExams/2012_1b.png,2012_1b.PNG,2012_1b,"overlapping, complementary, complementary distribution, contrastive, phoneme, allophone, free variation",a style latter b seat sit srt economy economy d feel lake hit hrt hint ram rm rang g neither neither nd169 2 over the vowel indicates vowel nasalization and marks unreleasing of a stop Which of the following is a correct statement about and The underlined pairs of sounds in each word pair b and are in overlapping distribution The underlined pairs of sounds in each word pair and g are in complementary distribution The underlined pairs of sounds in each word pair a d and g are in free variation The underlined pairs of sounds in each word pair c and f are in contrastive distribution The underlined pairs of sounds in each word pair b and are allophones of different phonemes
/TExams/2012_2a.png,2012_2a.PNG,2012_2a,"coalescent assimilation, palatalization, palatal, glide, architecture, ure",33 Read and and answer the question When neighboring sounds mutually affect each other to merge into a third sound the process is called coalescent assimilation which can be found in polatalization in English This coalescent assimilation or palatalization occurs when a morpheme final or word final alveolar obstruent is followed by the palatal glide in English merging the two sounds into a palatalized fricative or afiricate For example within a word as in architecture the underlying in the morpheme final position of architect and the initial j in the suffix ure affect each other to merge into the palatalized afiricate This process can also be found across words as in the phrase iss you in fast casual speech of North American English
/TExams/2012_2b.png,2012_2b.PNG,2012_2b,"coalescent assimilation, palatalization, palatal, glide, architecture, ure",You dont accept your failure easily do you You seem to be under the delusion that he follows you The old class divisions had begun to melt down We should cut down on our spending next year He checked his yacht before his departure for Australia After six years her gracious demeanor became known to everybody meee ge Which of the following lists all and only sentences that contain the expressions which can undergo the coalescent assimilation described in both within a word and across words Jacd Qa de bf Obef Ocde
/TExams/2012_3a.png,2012_3a.PNG,2012_3a,"intonation, numeric, pitch, tonic syllable",36 Read the following and answer the question In English a sequence of pitch levels can indicate the intonation pattem of an intonational phrase In the following data the numbers in parentheses at the end of cach intonational phrase correspond to the pitch level as follows 1 indicates a low pitch 2 a normal pitch and 3 a high pitch Thus the 2 3 1 pattem is what is known as rising falling intonation and 2 3 represents rising intonation This kind of pitch change takes place around the tonic syllable depending on factors such as the pattem of a sentence and the intention of the speaker Importantly sentences that are ambiguous in writing may be unambiguous when spoken with different intonation pattems as in the following examples
/TExams/2012_3b.png,2012_3b.PNG,2012_3b,"intonation, numeric, pitch, tonic syllable",a A Do you know him B Do I KNOW him Hes my BROther b A Lets go back to the classroom B Its time for class to START A Lets go somewhere this summer Where dol you want to GO Do you want to go to LONdon or PAris We might need to go that way to escape from this hazard Are you CERtain A What time is it now B What TIME is it now CAPITAL letters indicate tonic syllables Intonation is marked only for Bs utterances
/TExams/2012_3c.png,2012_3c.PNG,2012_3c,"intonation, numeric, pitch, tonic syllable",Given that each dialog is produced in a common and neutral context in North American English which of the following is the most plausible In dialog B is asking A to repeat what A said 2 In dialog b B states that the class will resume very soon In dialog B wants A to choose between London and Paris to visit In dialog B does not think that A is certain at all In dialog B is asking A the correct time
/TExams/2013_1.png,2013_1.PNG,2013_1,"syllable, sonority, sonority hierarchy",29 Read and and answer the question Although neatly everybody can identify individual syllables it is difficult to define what is meant by a syllable One possible theory of the syllable draws on the concept of sonctity The sonority of a sound is its Loudness relative to that of other sounds with the same length stress and pitch It is generally agreed that the sonority hierarchy is as follows Ss 2 The sonotity theory of the syllable holds that a peak of sonotity defines a syllable That is according to the theory the peak of a syllable coincides with the peak of sonotity For example in a sequence of sounds the vowel is more sonorous than and and is more sonorous than This sequence of sounds forms one sonotity peal on the vowel Therefore the theary correctly predicts that this word tas one syllable a bright b speed e danced sweet Which of the following lists all and only the examples in that support the theory described in Da b c Oacgd Ob qd Ob Ocqd
/TExams/2013_2a.png,2013_2a.PNG,2013_2a,"phonological process, neutralization, phonemic contrast, flap, vowel neutralization, /r/, aspiration, glottal stop, pin, pen",30 Read and and answer the question A A phonological process commonly found in English is neutralization whereby a phonemic contrast generally observed is not found in a given environment For example both A and fd are realized as the flap between a stressed and an unstressed vowel in Ametican English as can be seen in writer and vider mires By the flapping mule the phonemic contrast etween Y and d is lost between a stressed and an unstressed vowel resulting in the neutralization of the contrast in that position As another example of neutralization the vowel A within syllables closed by Jaf eg beet is produced somewhere between a tense A and a lax vowel i in American English That is there is no contrast between a tense and a lax vowel before syllable final even though this distinction exists elsewhere
/TExams/2013_2b.png,2013_2b.PNG,2013_2b,"phonological process, neutralization, phonemic contrast, flap, vowel neutralization, /r/, aspiration, glottal stop, pin, pen",At the beginning of a stressed syllable an aspirated stop occurs and an unaspirated stop does not eg pea tea key b In some accents of English p t b in syllable final position are realized as a glottal stop eg tp pit kick In Affican American English 1 and e ate pronounced the same before nasal consonants eg pin pen Which of the following lists all and only the case s in that show s the phonological process described in Da Bar abe be c
/TExams/2014_1.png,2014_1.png,2014_1,"lateral, allophone, clear, dark, velarized, onset, coda, syllabic, rhyme",11 Read the passage and fill in the blank with ONE word In English the lateral phoneme l has two allophones clear 1 and dark 1 a velarized alveolar lateral The articulatory difference between the two is that in the former the back of the tongue is lowered while in the latter it is raised toward the velum or retracted toward the uvula without making contact in cither case Some examples with and are limb climb lock 2 miller yellow billow 3 mill fill pile milk middle bubble tunnel We can see that and are in complementary distribution appears in an onset position as in and while appears in a coda position as in The rule involved seems to be that velarization takes place whenever Ai is in a coda position However the cases in cannot be explained by this rule because is syllabic and constitutes the nucleus which is usually occupied by a vowel By minimally modifying the above rule we can obtain a more accurate rule A is velarized if and only if it is pat of the
/TExams/2014_2a.png,2014_2a.PNG,2014_2a,"suffix, derivational, deverbal, requirement, feature, anterior, coronal, sonorant, continuant",Read the passage and follow the directions There are two types of derivational suffix al the type that attaches to nouns and forms adjectives as in central coastal and musical and the type that attaches to verbs and forms nouns as in refusal proposal and recital The second type called a deverbal suffix can derive well formed nouns only if three requirements are satisfied One is that the final syllable of the verb it attaches to has stress and based on this requirement English lacks nouns like fidgetal promisal and abandonal The data in and exemplify the other two requirements Requirement 2 betrothal arrival acquittal rebukal impeachal detachal Requirement 3 rental dispersal rehearsal acceptal resistal engraftal
/TExams/2014_2b.png,2014_2b.PNG,2014_2b,"suffix, derivational, deverbal, requirement, feature, anterior, coronal, sonorant, continuant",Some Distinctive Features for Consonants Distinctive Features Labials Dentals Alveolars Palato alveolars Velars Distinctive Features Oral stops Fricatives Liquids Glides Describe Requirements 2 and 3 based on the data in and respectively For each requirement use ONE or TWO distinetive features from the list above
/TExams/2015_1.png,2015_1.png,2015_1,"glottal stop, allophone, /t/, onset, syllable position, geminate",7 Read the passage and fill in each blank with ONE word Write your answers in the correct order 2 points A glottal stop is the sound that occurs when the vocal cords are held tightly together In many accents of English a glottal stop is often realized as a n of t in the words given in Batman catnap butler atlas t While the t in the words in can be produced as a glottal stop the in the words in cannot be realized as a glottal stop atrocious attraction t Al atrophic patrol t t The data given in and show that unlike the t in the words in the t in the words in is in a n position of a syllable and thus it cannot be produced as a glottal stop Note In the words in and the underlined spelling of or ft represents t
/TExams/2015_2a.png,2015_2a.png,2015_2a,"dialectal variation, /j/, /j/ insertion, stress",Read the passage and follow the directions 5 points Words such as music and cube are pronounced in the same way in both American English and British English However words such as tuition endure and annuity vary as shown in la British English tuition duration endure annuity perpetuity voluminous American English tuition duration endure annuity perpetuity voluminous While in British English we see a j after the underlined consonants t d n and I in the words given in the expected American English pronunciations are without a j after the same underlined consonants as shown in The same difference is observed after the underlined consonants s and z for the words in and British English assume superb exude rsum American English assume superb exude rsum
/TExams/2015_2b.png,2015_2b.png,2015_2b,"dialectal variation, /j/, /j/ insertion, stress",However the words given in show that the underlined alveolars n and l are followed by a j in American English as well as in British English British English and American English continue biannual voluble valuation Note Vowel differences in some words between British English and American English are not represented in the data above Based on the data given in and state the condition s when j cannot follow alveolar consonants and the condition s when j can in American English
/TExams/2016_1.png,2016_1.png,2016_1,"feature, distinctive feature, syllable structure, dependency, peak, coda, rhyme, constituent, /au/, labial, dorsal, coronal",5 Read the passage and fill in the blank with a distinctive feature 2 points In the syllable structure of English words dependencies between peaks and codas provide evidence for the existence of rhyme as a constituent of syllable For example we can see the relationship between av peak and its coda as follows town house rouse sprout loud mouth couch The examples in show that the coda following au has to be while those in show that it cannot be or to form a rhyme Note indicates a non permissible form
/TExams/2016_2.png,2016_2.png,2016_2,"suffix, y, stress-bearing, stress-shifting, stress-neutral",6 Read the passage and fill in the blanks Write your answers in the correct order English suffixes can be grouped into three different types when they are added to a root stress bearing stress shifting and stress neutral Stress bearing suffixes attract the primary stress to themselves as in la Stress shifting suffixes move the stress to some other syllables as in Stress neutral suffixes do not make any difference to the stress of the root as in lc Meanwhile the suffix y is classified into two classes Noun forming suffix y in belongs to suffixes while adjective forming suffix y in belongs to suffixes a engine engineer attest attestation statue statuesque b public publicity commerce commercial library librarian c clever cleverness consult consultant parent parenthood summer summery telephone telephony synonym synonymy frump frumpy advisor advisory photograph photography velvet velvety
/TExams/2016_3.png,2016_3.png,2016_3,"alveolar stop, flapping, flap",Read the passage and follow the directions 4 points In American English alveolar stops can be pronounced as a flap which is caused by a single contraction of the muscles so that one articulator is thrown against another It is often just a very rapid stop gesture This sound can be written with the symbol so that fatty can be transcribed as Alveolar stops become a flap when they are located between a stressed vowel and an unstressed vowel as in water and header In addition to this rule there are two other rules that account for the contexts where flapping occurs autumn riddle monitor saddle humanity daddy battle comedy competing Identify ALL the words from that cannot be accounted for by the underlined rule in Then categorize them into TWO groups according to their occurrence contexts and state ONE tule for EACH group which accounts for each data set
/TExams/2017_1.png,2017_1.png,2017_1,"vowel, morphologically related, stressed, reduced, velar, palato-alveolar",3 Read the passage and fill in the blank with ONE word While all vowels of English except can occur in stressed syllables many of these vowels reveal alternations with an in reduced syllables in morphologically related words as shown in Stressed Syllable Reduced Syllable i homogeneous houmadsinias homogenize fev explain explanation _ le perpetuate perpetuity Jal demonstrable demonstration JW confront confrontation kanfiontexfon Jaa recite recitation _ However it is not uncommon to see an in reduced syllables of the words in a selfish b metric sandwich running marriage allegation In the examples in 1 occurs before palato alveolars as in or before as in Your answer must account for all three examples in
/TExams/2017_2.png,2017_2.png,2017_2,"trisyllabic laxing, lax, antepenultimate, suffix, affix",4 Read the passage and fill in the blank with ONE word Trisyllabic laxing is a rule which changes a tense vowel into a lax vowel This rule applies when the target vowel is pushed into the ante penultimate syllable i e the third syllable from the end due to the attachment of a suffix as exemplified below supreme supremacy apply application sane sanity divine divinity opaque opacity The tense vowels in words like nightingale and ivory do not undergo trisyllabic laxing although these words contain the minimum of three syllables required by the trisyllabic laxing rule The explanation is that these forms are exempt from trisyllabic laxing since they do not have any
/TExams/2017_3.png,2017_3.png,2017_3,"schwa, schwa deletion, careful speech, fast speech, non-permissible, phonetic environment",3 Read the passage and follow the directions 4 points The schwa vowel a which is a reduced or weak vowel in English can be deleted in fast speech as exemplified in Schwa Deletion Careful Speech Fast Speech camera veteran However schwa deletion is not observed in fast speech for the following words No Schwa Deletion Careful Speech Fast Speech facilitate _ famous In the following examples of morphologically related words schwa deletion may or may not be observed Careful Speech Fast Speech a principal __ Principality imaginative imagination Note indicates a non permissible form In the data given in and schwa deletion occurs in fast speech under two conditions related to a preceding and a following phonetic environment State the two phonetic conditions for schwa deletion
/TExams/2018_1.png,2018_1.png,2018_1,"antepenultimate, stress, light, heavy, diphthong, long vowel, coda, phonotactic, constraint, onset cluster, coda cluster",Read the passage and follow the directions It is well known in English that we get antepenultimate stress in nouns of at least three syllables when the penultimate syllable is light antepenultimate syllable stressed cinema asterisk America Canada animal When the penultimate syllable ends with a coda or has a long vowel or a diphthong stress however falls on that heavy penultimate syllable penultimate syllable stressed a utensil agenda synopsis b aroma horizon arena In the above examples in it is clear that a syllable boundary seats itself between word internal consonantal sequences such as ns in utensil nd in agenda and ps in synopsis since English phonotactic constraint does not permit such consonantal sequences to occur as an onset cluster However the word internal consonantal sequence st poses an interesting challenge for syllabification Unlike the ns nd or ps the st sequence could be an onset cluster as in student stupid or a coda cluster as in Jist mist Fill in the blank with the ONE most appropriate word from the passage above Considering the stress placement in the words given in where st occurs we can claim that the underlined s is in position antepenultimate syllable stressed amnesty minister pedestal
/TExams/2018_2.png,2018_2.png,2018_2,"consonant cluster, assimilation, voicing assimilation, agreement, underived, lexical, inflectional, sonorant, obstruent, non-permissible",5 Read the passage and fill in each blank with the ONE most appropriate word respectively 2 points The examples in show that word final consonant clusters formed by the addition of an inflectional suffix undergo voicing assimilation cats dogs cans bells baked popped farmed sealed The examples in illustrate the voicing agreement patterns in word final consonant clusters of the underived lexical items a apse adze apt lift act cast b mince belch purse pump mint elk Telg Unlike the lexical items with inflectional suffixes in voicing agreement selectively occurs for the underived lexical items in As can be seen in there are cases where clusters composed of and do not agree in voicing Note indicates a non permissible form
/TExams/2018_3.png,2018_3.png,2018_3,"British English, glide, insertion, /j/, /w/, j, w, glide insertion, generalization",Read the passage and follow the directions j insertion being my other car free a prisoner enjoy ice cream w insertion sewer few arrests now or never go away No glide insertion drawing maandpa law and order In a number of dialects of British English a glide is inserted in certain environments as shown in and bity matado frio endgoraiskiim sus fjuarests navoneve govowe1 However in such dialects glide insertion is not attested in the examples in Instead 1 is inserted media event Note indicates a non permissible form Based on the data given in provide one single generalization for glide insertion Then state the condition s for j insertion and the one s for w insertion respectively
/TExams/2019_1.png,2019_1.png,2019_1,"morpheme boundary, obligatory, nasal, assimilation, bilabial, alveolar, nasal assimilation, stressed vowel, unstressed vowel, postlexical",4 Read the passage and fill in each blank with the ONE most appropriate word Write your answers in the correct order Across morpheme boundaries obligatory nasal assimilation to bilabials or alveolars applies without restriction as shown in compose composition symbol symbolic sympathy sympathetic condemn condemnation intone intonation indent indentation On the other hand obligatory nasal assimilation to velars applies selectively as shown in Note that optional nasal assimilation may apply postlexically to derive cocordance cogressional etc Nasal assimilation No nasal assimilation cocord cocordance cogress cogressional coquer cocur cogruous cogruity sychrony sychronic icubate ifn clude The examples in illustrate that obligatory nasal assimilation applies only when preceded by a n vowel and followed by a n vowel with a velar involved
