Filename,YEAR,KEYWORDS,TEXT
2021_2.PNG,2021_2,"locative inversion, preposing, postposing","Locative inversion involves the preposing of a locative phrase before the verb and the postposing of the subject after the verb.

John ran into the house
Into the house ran John

A woman stood on the corner
On the corner stood a woman

Note that the second sentence can be derived from the first by moving the locative phrase into the house to the front of the sentence and by inverting the verb ran and the subject John. Likewise, we can derive the corresponding sentence with a woman. Meanwhile, there is some restriction with locative inversion. Consider the following examples.

My friend Mary seated my mother among the guests of honor
Among the guests of honor seated my mother my friend Mary
Among the guests of honor seated my friend Mary my mother

The women danced beautiful dances around the fire
Around the fire danced beautiful dances the women
Around the fire danced the women beautiful dances

All the examples above clearly show that the basic verb types affect the grammaticality of locative inversion.

Out of the house came an old lady
Under the bridge lived a troll a good life"
2021_3.PNG,2021_3,"VP, TP, CP, coordination, wh-cleft sentence, promise, intend, believe","To account for some syntactic phenomena in English, we can resort to phrasal categories such as verb phrase, tense phrase, complementizer phrase, and so on. First, let us assume that only constituents which belong to the same phrasal category can be coordinated. For example, a noun phrase can conjoin with another noun phrase, but not with an adjective phrase.

The student or the teacher
The student or very pretty

The same restriction also holds true with clausal structures. The following structures are clearly different, since they cannot be coordinated by the conjunction or.

We did not intend you to hurt him
We did not intend for him to hurt you
We did not intend you to hurt him or for him to hurt you

So, based on the phrasal category and the assumption about coordination, we can explain the ungrammaticality of such sentences.

Second, the restriction on wh cleft sentences can also be attributed to phrasal categories.

What I will do is postpone the meeting

A verb phrase can be in the focus position after the verb of wh cleft sentences like the example above. Consider further the following examples.

Bill promised to behave himself
What Bill promised is to behave himself

They believe him to be innocent
What they believe is him to be innocent

The verb promise is known to take a complementizer phrase complement which is headed by a null complementizer, and we find that complementizer phrase can be in the focus position. Meanwhile, the verb believe requires a tense phrase complement, and from the ungrammaticality of the example above, it is clear that a tense phrase cannot be in the focus position of a wh cleft sentence. Thus, based on the types of phrasal categories, we can explain the restriction on wh cleft sentences.

She argued persuasively or that their offer should be rejected
They offered us a choice of red wine, white wine, or beer
What he claims is that he was insulted
What we had not intended was you to get hurt"
2020_1.PNG,2020_1,"negative polarity item, c-command, temporal adverbials, locative adverbials, embedded reading, matrix reading","There is a class of words such as yet and any called negative polarity items. They are allowed in sentences containing a negative word such as not.

The defense strategy had not been determined yet
The defense strategy had been determined yet

However, there is an additional structural condition for a negative polarity item to be licensed by negation. The negation has to c command the negative polarity item.

Any defense strategy had not been determined

A node c commands its sister nodes and all the daughter nodes of its sister nodes.

Given the definition of c command, not does not c command any. Hence, the sentence is ungrammatical.

Temporal and locational adverbials can be structurally ambiguous in that they can modify either a matrix element or an embedded element. In the following example, yesterday can modify the embedded predicate knew the answer. This reading is called an embedded reading. In the embedded reading, it is asked whether Mark knew the answer yesterday. By contrast, yesterday can also modify the matrix predicate wondered. This reading is called a matrix reading. In the matrix reading, yesterday is when Celin wondered about Mark.

Celin wondered if Mark knew the answer yesterday

Mary said that Justin did not sing in any room
Mary did not say that Justin sang in any room"
2020_2.PNG,2020_2,"VP-internal subject hypothesis, specifier of VP","There is an intriguing phenomenon in English in which two semantically related constituents are separated.

All the students will work hard
The students will all work hard

In both sentences, the quantifier all modifies the subject the students. What is interesting is that in the second sentence, the quantifier positioned after the subject forms a discontinuous constituent with no major change in meaning.

This fact can be straightforwardly accounted for if it is assumed that the entire constituent all the students is base generated in the position of the verb phrase. As illustrated, all the students undergoes movement to the surface subject position. By contrast, just part of the constituent, the students, moves to the subject position, leaving all behind in its base position.

This account is based upon the verb phrase internal subject hypothesis, which states that a subject is base generated in the position of the verb phrase and in turn moves to the position of the tense phrase."
2019_1.PNG,2019_1,"extraposition, clausal modifiers of NPs, VP preposing, adjoin","Clausal modifiers of noun phrases which function as the subject or the object can move to the end of the sentence. This process is called extraposition. The extraposed complementizer phrase can be adjoined to the verb phrase or the tense phrase.

A man who has red hair just came in
A man just came in who has red hair

John will not turn a friend who needs help away
John will not turn a friend away who needs help

Let us take a closer examination of the extraposition of the complementizer phrase from the object position. As confirmed in the following example, verb phrase preposing can be further applied and the resulting sentence is grammatical. This suggests that the extraposed complementizer phrase from the object position is adjoined to the verb phrase, since only phrasal constituents can move.

John said that he would not turn a friend away who needs help, and turn a friend away who needs help he would not

The whole process can be represented as follows. From the initial structure, the clausal modifier complementizer phrase is adjoined to the verb phrase, and the resulting verb phrase constituent moves to the front of the sentence.

From the brief observation, it can be proposed that an extraposed complementizer phrase is adjoined to the first phrasal constituent containing the noun phrase out of which it is extraposed.

Few people who knew him would work with John
Few people would work with John who knew him
Work with John who knew him few people would"
2019_2.PNG,2019_2,"Control, Raising, ECM, PRO, arbitrary PRO, non-arbitrary PRO","Despite their similarity on the surface, sentences in the first set are of different types, as suggested in their paraphrases in the second set. Sentences like the first example are called control constructions, while those like the second are raising or exceptional case marking constructions. Unlike the latter, an empty pronominal noun phrase called PRO is postulated in control constructions.

John persuaded Sue to obey her parents
John believed Sue to be obedient to her parents

John persuaded Sue that she should obey her parents
John believed that Sue was obedient to her parents

In fact, there are two kinds of PRO. One is called arbitrary PRO, whose meaning is basically someone. Arbitrary PRO is like a referring expression or a pronoun in that it can get its meaning from outside the sentence. The other is non arbitrary PRO, which can be further distinguished into two varieties, obligatory control and optional control. The optional control is exemplified in the following example. PRO here can either refer back to John or it can have an arbitrary PRO reading. The obligatory control is exemplified in the next examples. PRO in one example obligatorily refers back to the main clause subject, hence called subject control, while PRO in the other obligatorily refers back to the main clause object, hence called object control.

To go to college is not essential for success in life
John knows that it is essential to be well behaved
John tried to behave
John persuaded Sue to obey her parents

PRO to improve himself John should consider therapy
John is easy to talk to

John motivated Sue to study harder
John reported Sue to be obnoxious
John threatened Sue to leave her"
2018_1.PNG,2018_1,"coordinate conjunction, conjoin, CP, TP","Sentences must satisfy various principles to be grammatically correct. Consider the following sentences.

It seems that Tom admires Mary
Tom seems that he admires Mary

The first sentence is grammatical but the second sentence is ungrammatical since the matrix subject Tom has no theta role.

Next, consider sentences containing an anaphor.

Tom thinks that Mary admires herself
Tom thinks that Mary admires himself

Tom expects Mary to admire herself
Tom expects Mary to admire himself

The grammatical sentences above are acceptable since the reflexive pronoun herself is in the same clause as, and bound by, the antecedent Mary. However, the ungrammatical sentences are unacceptable since the reflexive pronoun himself does not occur in the same clause as the antecedent Tom, violating the binding condition, which requires a reflexive pronoun to be bound by its antecedent in its binding domain, which is the smallest clause containing the anaphor.

Finally, consider the following sentences.

It seems that Tom is believed to admire Mary
Tom seems that it is believed to admire Mary

The first sentence above is grammatically correct since no violation of grammatical principles has occurred. However, the second sentence is ungrammatical since the movement of the matrix subject has violated a constraint which bans a subject from crossing another subject. 

Consider the following sentence.

Tom appears to Mary to be believed by his friends to brag about himself

In the sentence above, the reflexive pronoun himself is in the lowest embedded clause, whereas its antecedent Tom is in the subject position of the matrix clause."
2018_2.PNG,2018_2,"matrix subject, theta role, reflexive pronoun, bound, antecedent, binding condition, no crossing another subject","Sentences must satisfy various principles to be grammatically correct. Consider the following sentences.

It seems that Tom admires Mary
Tom seems that he admires Mary

The first sentence is grammatical but the second sentence is ungrammatical since the matrix subject Tom has no theta role.

Next, consider sentences containing an anaphor.

Tom thinks that Mary admires herself
Tom thinks that Mary admires himself

Tom expects Mary to admire herself
Tom expects Mary to admire himself

The grammatical sentences above are acceptable since the reflexive pronoun herself is in the same clause as and bound by the antecedent Mary. However, the ungrammatical sentences are unacceptable since the reflexive pronoun himself does not occur in the same clause as the antecedent Tom, violating the binding condition. This condition requires a reflexive pronoun to be bound by its antecedent in its binding domain, which is the smallest clause containing the anaphor.

Finally, consider the following sentences.

It seems that Tom is believed to admire Mary
Tom seems that it is believed to admire Mary

The first sentence above is grammatically correct since no violation of grammatical principles has occurred. However, the second sentence is ungrammatical since the movement of the matrix subject has violated a constraint which bans a subject from crossing another subject. 

Consider the following sentence.

Tom appears to Mary to be believed by his friends to brag about himself

In the sentence above, the reflexive pronoun himself is in the lowest embedded clause, whereas its antecedent Tom is in the subject position of the matrix clause."
2017_1.PNG,2017_1,"intransitive verbs, unergative verbs, unaccusative verbs, there inversion","Not all intransitive verbs are of the same kind. Compare the two sentences below.

An angel jumped on the hill
An angel appeared on the hill

Although both of the above sentences are intransitive, they are not of the same kind. They have different syntactic and semantic properties. In the first sentence, the subject originates in the specifier position external to the verb bar constituent, receiving an agent role. Verbs like jump are known as unergative verbs. However, in the second sentence, the superficial subject originates in the complement position within the immediate verb bar projection of the verb, receiving a theme role. Then it moves to subject position. Verbs like appear are known as unaccusative verbs.

The two types of intransitive verbs can be distinguished by means of tests such as the following. Unaccusative verbs like appear allow a word order called there inversion, where the underlying complement remains in its original position after the verb. On the other hand, since the subject of unergative verbs like jump does not originate in the complement position of the verbs, it is not allowed to appear in that position after the verbs with there inversion.

There jumped an angel on the hill
There appeared an angel on the hill

Several people ate in the Korean restaurant
Several customers shopped in the new shopping center
Several students remained in the school library
Several soldiers saluted in the military ceremony
Several complications arose in the medical experiment"
2017_2.PNG,2017_2,"anaphors, bound, antecedent, coindexed, c-command, double object construction","Anaphors such as each other have to be bound by their antecedent. An anaphor must satisfy two conditions to be bound. An anaphor can be bound if it is coreferential with its antecedent and is also c commanded by that antecedent within the smallest clause or noun phrase containing the anaphor. A node c commands its sister and all the descendants of its sister.

Consider the two structures for the verb phrase in the double object construction. One structure is a ternary branching structure, which is a kind of multiple branching structure, and the other is a binary branching structure.

Tom will give Mary a book

In the two structures, the direct and indirect objects have different structural relations.

Mary showed the boys each other
Mary showed each other the boys

In the examples above, the boys and each other refer to the same people."
2016_1.PNG,2016_1,"PP modifier, Complement, Adjunct, wh-movement","A prepositional phrase modifier has distinct grammatical functions. It can be either a complement or an adjunct.

The specialist in phonology
The specialist at the stage

Two types of syntactic arguments can be presented for the structural distinction between prepositional phrase complements and prepositional phrase adjuncts. First, they are strictly ordered when they both occur as postnominal modifiers, as the following contrast shows.

The specialist in phonology at the stage
The specialist at the stage in phonology

Another syntactic argument can be formulated in relation to wh movement. Noun phrases within prepositional phrase complements can be preposed, while noun phrases within prepositional phrase adjuncts cannot.

What area of linguistics is he a specialist in
Which place is he a specialist at

He is a contender with a knee injury
He is a contender for the PGA title"
2015_1.PNG,2015_1,"reflexive pronoun, ordinary pronoun, proper noun, antecedent, referent, smallest clause","The sentences below show three types of noun phrases: the reflexive pronoun, the ordinary pronoun, and the proper noun.

John likes himself
Mary met him
John came

The reflexive pronoun should have the antecedent in the sentence from which it picks up its reference, with the noun phrases indicating the same referent. This sharply contrasts with the ordinary pronoun and the proper noun.

John introduced himself to Mary
Himself came

John introduced him to Mary
John introduced Bill to Mary

The existence of the antecedent in the sentence, however, is not a sufficient condition to license the reflexive pronoun.

John thinks that himself is intelligent
John told Mary about herself

The examples above show that the reflexive pronoun finds its antecedent in the smallest unit that contains it. The sentences in which this condition is not met are ungrammatical in contrast to those in which it is met."
2014_1.PNG,2014_1,"post-modification, to-infinitives, relative clauses, appositive clauses, object, subject","In post modification, to infinitives can be interpreted as relative clauses or appositive clauses. When a to infinitive is interpreted as a relative clause, the modified head noun corresponds to the relative pronoun, which is implicit in most cases, in the internal structure of the to infinitive.

I will buy books to read
I will buy books which I will read

The meaning of the first sentence is equivalent to that of the second sentence. Since books is the antecedent of the object relative pronoun in the second sentence, it can be interpreted as the object of the verb in the internal structure of the to infinitive in the first sentence. The modified head noun can also correspond to an implicit relative pronoun with other functions, the subject, the object of the preposition, and the object of the omitted preposition.

When a to infinitive is interpreted as an appositive clause, there is no implicit relative pronoun in the to infinitive that corresponds to the head noun.

I need someone to help me with my homework
Let us think about issues to deal with tomorrow
We did not have money to buy food
Do you have plans to travel abroad

Analyze the sentences below and fill in the blanks with words from the passage.

The couples found places to stay before having dinner
I am looking for doctors to consult regarding my mother’s health

The head nouns in the two sentences correspond to different functions in the internal structures of the to infinitives."
2014_2.PNG,2014_2,"thematic roles, argument structure, agent, theme, experiencer, instrument","Every predicate is associated with an argument structure, which specifies the number of arguments it requires. The predicate assigns its arguments thematic roles including the following roles.

Agent is the instigator of the action
Theme is the entity affected by the action or state
Experiencer is the entity experiencing the psychological state
Instrument is the means by which the action or event is carried out

Thematic roles do not have a one to one relationship with grammatical functions such as the subject and the object. For example, the argument the ball is the object in one sentence and the subject in another sentence, but it retains the same thematic role theme in both sentences. Other examples can be seen below.

David kicked the ball
The ball was kicked by David

A brick smashed the window
They expected the ship to sink
David opened the door slowly
Bob cut the tree with a saw

The subject in the sentence with a brick smashed the window and the object of the preposition in the sentence with Bob cut the tree with a saw carry the role of one thematic role, whereas the subject of the subordinate clause in the sentence with they expected the ship to sink and the object in the sentence with David opened the door slowly have another thematic role."
